prompt,response,originality
bottle,bottle vase for flowers,3.0
bottle,bottle as a birdfeeder,3.5
bottle,bottle transformed into art,3.0
bottle,glass bottle wind chime,4.0
bottle,candle holder for decor,3.5
bottle,bottle chandelier light fixture,4.0
bottle,bottle bird feeder station,3.5
bottle,bottle terrarium or planter,3.5
bottle,bottle as a bird feeder,3.3
bottle,bottle candle holder,3.5
bottle,create hanging planters from bottles,3.5
bottle,diy bird feeders,3.5
bottle,bottle planters for herbs,3.5
bottle,bottle wind chime décor,3.5
bottle,diy birdfeeder or waterer,3.5
bottle,bottle as a candle holder,3.5
bottle,bottle candle holder with wax,3.0
bottle,diy bottle bird feeder,3.0
bottle,bottle planter for succulents,3.5
bottle,bottle planter for herbs,3.5
bottle,create personalized message in bottle,3.0
bottle,glass bottle chandelier light fixture,4.0
bottle,bottle lamp - unique lighting solution,3.5
bottle,diy bottle bird feeder,3.0
bottle,bottle garden watering tool,3.3
bottle,bottle lamp with string lights,3.5
bottle,bottle light fixture,4.0
bottle,diy bird feeder,3.5
bottle,diy bottle lampshade,3.5
bottle,bottle herb garden planter,3.5
bottle,bottle artwork- use as canvas,3.0
bottle,glass bottle lampshade project,3.3
bottle,message in a bottle,2.7
bottle,diy lampshade,4.0
bottle,bottle candle holder centerpiece,3.5
bottle,bottle chandelier for ambiance,4.0
bottle,bottle candle holder,3.5
bottle,bottle vase for flowers,3.0
bottle,romantic bottle candle holders,3.3
bottle,bottle lampshade,3.5
bottle,bottle vase for flowers arrangement,3.0
bottle,bottle herb garden planter,3.5
bottle,bottle planter for herbs,3.5
bottle,bottle herb garden planter,3.5
bottle,diy bird feeder,3.5
bottle,glass bottle drinking glasses,2.0
bottle,bird feeder or water dispenser,3.3
bottle,bottle lamp shade,4.0
bottle,bottle birdhouse in garden,4.0
bottle,bottle herb garden planter,3.5
bottle,bottle birdhouse with perch,4.3
bottle,bottle planter for herbs,3.5
bottle,bottle vase for flowers,3.0
bottle,bottle hanging garden planter,3.5
bottle,glass bottle wind chimes outside,4.0
bottle,diy bottle lamps or lanterns,3.3
bottle,bottle candle holder,3.5
bottle,bottle bird feeder or waterer,3.3
bottle,bottle candle holder,3.5
bottle,upcycled glass bottle vase,3.3
bottle,oil lamp candle holder,3.0
bottle,bottle as a bird feeder,3.3
bottle,bottle planter: miniature garden centerpiece,3.5
bottle,bottle birdhouse decoration,3.3
bottle,musical instrument made from bottles,3.5
bottle,flower vase with flair,2.7
bottle,bottle birdhouse for garden decor,4.0
bottle,bottle candle holder,3.5
bottle,bottle light fixture cover,4.0
bottle,use a bottle as a vase for flowers,2.5
bottle,bottle lamp: drill hole,3.0
bottle,outdoor torch with wick,3.5
bottle,bottle as flower vase,3.0
bottle,create a diy bird feeder,3.3
bottle,diy bottle chandelier,4.3
bottle,bottle musical instrument,3.5
bottle,bottle as a watering can,3.3
bottle,bottle vase for flowers,3.0
bottle,bottles repurposed as bird feeders,3.5
bottle,bottle wind chimes or mobiles,4.3
bottle,bottle vase for flowers,3.0
bottle,bottle vase for flowers,3.0
bottle,bottle herb garden planter,3.5
bottle,bottle bird feeder,3.3
bottle,bottle candle holder: melt wax inside bottle,3.0
bottle,bottle garden irrigation system,4.0
bottle,make decorative string lights,4.3
bottle,wine bottle candle holder,3.5
bottle,use as a unique vase,3.0
bottle,hanging bottle vases for flowers,2.7
bottle,watering tool for plants,3.0
bottle,bottle garden watering system,3.3
bottle,bottle wind chimes for sound,4.0
bottle,bottle as candle holder,3.5
bottle,bottle wind chime décor,3.5
bottle,bottle candle holder centerpiece,3.5
bottle,bottle chandelier made of glass,4.0
bottle,diy lamp - create unique lighting,3.3
bottle,bottle bird feeder,3.3
bottle,musical instrument shaker,3.0
bottle,bottle planters for herbs,3.5
bottle,bottle bird feeder dispenser,3.3
bottle,bottle planters with succulents,3.5
bottle,bottle vase for flowers,3.0
